date,close,volume,open,high,low
11/24/2025,668.73,80437940,662.69,670.06,661.59
11/21/2025,659.03,123956200,655.05,664.55,650.85
11/20/2025,652.53,165293500,672.91,675.56,651.89
11/19/2025,662.63,94702960,660.78,667.34,658.745
11/18/2025,660.08,114467500,662.095,665.12,655.86
11/17/2025,665.67,90456110,669.70,673.71,662.17
11/14/2025,671.93,96846670,665.38,675.66,663.265
11/13/2025,672.04,103457800,680.50,680.86,670.52
11/12/2025,683.38,62312480,684.79,684.96,680.945
11/11/2025,683.00,58953390,679.95,683.57,678.73
11/10/2025,681.44,75842890,677.235,682.18,675.03
11/07/2025,670.97,100592400,667.91,671.08,661.205
11/06/2025,670.31,85035300,676.47,677.38,668.72
11/05/2025,677.58,74402380,674.98,680.86,674.17
11/04/2025,675.24,78426970,676.11,679.96,674.58
11/03/2025,683.34,57315030,685.67,685.80,679.94
10/31/2025,682.06,87164120,685.04,685.08,679.24
10/30/2025,679.83,76335750,683.90,685.94,679.83
10/29/2025,687.39,85362210,688.72,689.70,682.87
10/28/2025,687.06,61738070,687.05,688.905,684.83
10/27/2025,685.24,63339790,682.73,685.54,682.115
10/24/2025,677.25,74356530,676.46,678.47,675.65
10/23/2025,671.76,65604460,668.12,672.7101,667.80
10/22/2025,667.80,80564010,672.00,672.00,663.30
10/21/2025,671.29,56249030,671.44,672.99,669.981
10/20/2025,671.30,60493350,667.32,672.21,667.27
10/17/2025,664.39,96500870,659.50,665.755,658.14
10/16/2025,660.64,110563300,666.82,668.71,657.11
10/15/2025,665.17,81702560,666.82,670.23,658.93
10/14/2025,662.23,88779560,657.17,665.83,653.17
10/13/2025,663.04,79560520,660.65,665.13,659.7679
10/10/2025,653.02,159422600,672.13,673.95,652.84
10/09/2025,671.16,66501940,673.53,673.94,669.21
10/08/2025,673.11,60702240,670.25,673.2056,669.42
10/07/2025,669.12,72020070,672.54,672.99,667.67
10/06/2025,671.61,54623260,671.62,672.51,669.455
10/03/2025,669.21,70494350,669.99,672.675,668.16
10/02/2025,669.22,56895990,670.45,670.565,666.78
10/01/2025,668.45,72545370,663.17,669.37,663.06
09/30/2025,666.18,86288030,662.93,666.65,661.61
09/29/2025,663.68,73499020,664.36,665.28,661.86
09/26/2025,661.82,69179210,659.51,662.37,657.88
09/25/2025,658.05,89622070,657.94,659.4056,654.405
09/24/2025,661.10,68082230,664.51,664.61,659.67
09/23/2025,663.21,81708870,666.72,667.34,661.98
09/22/2025,666.84,69452200,662.20,667.29,662.17
09/19/2025,663.70,97945620,662.33,664.55,660.37
09/18/2025,662.26,90459240,661.89,664.89,660.27
09/17/2025,659.18,101952200,660.01,661.72,654.30
09/16/2025,660.00,61168950,661.47,661.78,659.21
09/15/2025,660.91,63772410,659.64,661.04,659.34
09/12/2025,657.41,72780140,657.60,659.11,656.90
09/11/2025,657.63,69934360,654.18,658.33,653.59
09/10/2025,652.21,78034530,653.62,654.55,650.63
09/09/2025,650.33,66133860,648.97,650.86,647.22
09/08/2025,648.83,63133100,648.62,649.84,647.23
09/05/2025,647.24,85178940,651.48,652.21,643.33
09/04/2025,649.12,65219230,644.42,649.15,643.51
09/03/2025,643.74,70820900,642.67,644.21,640.46
09/02/2025,640.27,81983550,637.50,640.49,634.92
08/29/2025,645.05,74522190,647.47,647.84,643.14
08/28/2025,648.92,61519460,647.24,649.48,645.34
08/27/2025,646.63,48341070,644.57,647.37,644.42
08/26/2025,645.16,51581570,642.20,645.51,641.57
08/25/2025,642.47,51274330,644.04,645.29,642.35
08/22/2025,645.31,84083210,637.76,646.50,637.25
08/21/2025,635.55,54805780,636.28,637.97,633.81
08/20/2025,638.11,88890300,639.40,639.66,632.95
08/19/2025,639.81,69750730,643.12,644.105,638.48
08/18/2025,643.30,43804910,642.86,644.00,642.18
08/15/2025,643.44,68592510,645.99,646.09,642.5153
08/14/2025,644.95,59327470,642.79,645.62,642.34
08/13/2025,644.89,60092790,644.91,646.19,642.68
08/12/2025,642.69,64821800,638.29,642.85,636.79
08/11/2025,635.92,58742300,637.46,638.95,634.66
08/08/2025,637.18,64051630,634.06,637.645,633.74
08/07/2025,632.25,74205790,636.24,636.98,629.11
08/06/2025,632.78,64357530,629.05,633.44,628.13
08/05/2025,627.97,68051400,631.79,632.6052,627.04
08/04/2025,631.17,73218020,625.67,631.215,625.58
08/01/2025,621.72,140103600,626.30,626.34,619.29
07/31/2025,632.08,103385200,639.455,639.85,630.765
07/30/2025,634.46,80418850,635.92,637.68,631.54
07/29/2025,635.26,60556280,638.35,638.67,634.335
07/28/2025,636.94,54917100,637.48,638.04,635.54
07/25/2025,637.10,56865360,635.09,637.5799,634.84
07/24/2025,634.42,71307130,634.60,636.15,633.99
07/23/2025,634.21,70511040,631.55,634.21,629.73
07/22/2025,628.86,60046290,629.10,629.73,626.19
07/21/2025,628.77,63374980,628.77,631.54,628.34
07/18/2025,627.58,65621650,629.30,629.47,626.46
07/17/2025,628.04,68885680,624.40,628.4048,624.18
07/16/2025,624.22,88987510,623.74,624.73,618.05
07/15/2025,622.14,74317260,627.52,627.86,622.06
07/14/2025,624.81,51898520,623.16,625.1581,621.7999
07/11/2025,623.62,63670230,622.74,624.86,621.53
07/10/2025,625.82,57528960,624.20,626.8701,623.01
07/09/2025,624.06,66113330,622.77,624.72,620.9105
07/08/2025,620.34,59024590,621.35,622.11,619.52
07/07/2025,620.68,74814510,623.36,624.03,617.87
07/03/2025,625.34,51065790,622.45,626.28,622.43
07/02/2025,620.45,66510370,617.24,620.49,616.61
07/01/2025,617.65,70030140,616.36,618.83,615.52
06/30/2025,617.85,92502540,617.38,619.22,615.04
06/27/2025,614.91,86258400,612.88,616.39,610.83
06/26/2025,611.87,78548360,608.99,612.31,608.37
06/25/2025,607.12,62114770,607.91,608.61,605.54
06/24/2025,606.78,67735290,604.33,607.8499,603.41
06/23/2025,600.15,87426040,595.04,600.54,591.89
06/20/2025,594.28,94051370,598.38,599.46,592.86
06/18/2025,597.44,76605030,598.44,601.22,596.47
06/17/2025,597.53,82209370,600.21,601.75,596.76
06/16/2025,602.68,79984130,600.40,604.45,600.22
06/13/2025,597.00,89506000,598.50,601.85,595.48
06/12/2025,603.75,64129000,600.01,603.75,599.52
06/11/2025,601.36,73658230,604.19,605.06,599.27
06/10/2025,603.08,66246970,600.22,603.47,599.09
06/09/2025,599.68,53016420,599.72,601.25,598.49
06/06/2025,599.14,66588740,598.66,600.83,596.86
06/05/2025,593.05,92436400,597.63,599.00,591.05
06/04/2025,595.93,57314200,596.96,597.95,595.49
06/03/2025,596.09,63606200,592.34,597.08,591.85
06/02/2025,592.71,61630500,587.76,592.79,585.06
05/30/2025,589.39,90601240,588.93,591.1299,583.235
05/29/2025,590.05,70073760,593.06,593.20,586.07
05/28/2025,587.73,68445510,591.56,592.7688,586.985
05/27/2025,591.15,72588480,586.07,591.31,578.43
05/23/2025,579.11,76029050,575.98,581.8101,575.60
05/22/2025,583.09,70860420,582.66,586.62,581.405
05/21/2025,582.86,95197660,588.44,592.58,581.82
05/20/2025,592.85,60614490,593.09,594.05,589.60
05/19/2025,594.85,68168510,588.10,595.54,588.10
05/16/2025,594.20,76052100,591.25,594.50,589.28
05/15/2025,590.46,71268150,585.56,590.97,585.0969
05/14/2025,587.59,66283530,587.81,588.98,585.535
05/13/2025,586.84,67947230,583.41,589.08,582.84
05/12/2025,582.99,78993570,581.47,583.00,577.04
05/09/2025,564.34,37603430,566.48,567.50,562.7637
05/08/2025,565.06,65130790,565.24,570.31,561.70
05/07/2025,561.15,55733230,560.15,563.82,556.04
05/06/2025,558.80,48264710,557.93,563.3476,556.96
